Model,Number_of_EVs,Delay
CC_NoDelay,10,0.0
CC_NoDelay,15,0.0
CC_NoDelay,20,0.0
CC_NoDelay,25,0.0
CC_NoDelay,30,0.0
CC_NoDelay,35,0.0
CC_NoDelay,40,0.0
CC_NoDelay,45,0.0
CC_NoDelay,50,0.0
CC_NoDelay,55,0.0
CC_NoDelay,60,0.0
CC_OneSlotDelay,10,0.18299999999999997
CC_OneSlotDelay,15,0.187
CC_OneSlotDelay,20,0.19037500000000118
CC_OneSlotDelay,25,0.1982000000000001
CC_OneSlotDelay,30,0.20000000000000015
CC_OneSlotDelay,35,0.20000000000000015
CC_OneSlotDelay,40,0.20000000000000015
CC_OneSlotDelay,45,0.19988888888888906
CC_OneSlotDelay,50,0.20000000000000015
CC_OneSlotDelay,55,0.20000000000000015
CC_OneSlotDelay,60,0.19933333333333286
